 河北 去外省
北京  河北  1559016
天津  河北  754466
内蒙古  河北  183926
山东  河北  142422
山西  河北  138172
广东  河北  85828
江苏  河北  83969
辽宁  河北  69162
上海  河北  67497
浙江  河北  42158
陕西  河北  39377
河南  河北  38663
四川  河北  29229
新疆  河北  28368
黑龙江  河北  27082
湖北  河北  26003
安徽  河北  21318
吉林  河北  20428
福建  河北  16751
湖南  河北  16206
江西  河北  14568
甘肃  河北  14488
广西  河北  13875
重庆  河北  13090
云南  河北  12295
宁夏  河北  12137
青海  河北  10611
贵州  河北  8514
海南  河北  7297
西藏  河北  1337

外省来 河北 
 河北  黑龙江 196431
 河北  河南 181149
 河北  内蒙古 102610
 河北  山东 89303
 河北  四川 83144
 河北  辽宁 75003
 河北  北京 74697
 河北  天津 65019
 河北  安徽 62742
 河北  湖北 62297
 河北  吉林 59564
 河北  山西 57965
 河北  陕西 44276
 河北  江苏 36932
 河北  浙江 32221
 河北  湖南 25005
 河北  重庆 23944
 河北  江西 20274
 河北  甘肃 20102
 河北  福建 20034
 河北  贵州 17858
 河北  云南 14957
 河北  广东 9170
 河北  广西 8678
 河北  新疆 6600
 河北  青海 5047
 河北  宁夏 3555
 河北  海南 2895
 河北  上海 2339
 河北  西藏 862
