 甘肃 去外省
新疆  甘肃  344457
北京  甘肃  143265
内蒙古  甘肃  141901
广东  甘肃  124987
宁夏  甘肃  105125
陕西  甘肃  102522
江苏  甘肃  101709
上海  甘肃  94798
青海  甘肃  73076
天津  甘肃  64184
浙江  甘肃  62147
山东  甘肃  41470
四川  甘肃  32963
河北  甘肃  20102
西藏  甘肃  19671
福建  甘肃  18055
湖北  甘肃  12767
河南  甘肃  12010
山西  甘肃  11219
江西  甘肃  9461
重庆  甘肃  9146
湖南  甘肃  8967
辽宁  甘肃  8505
安徽  甘肃  6422
云南  甘肃  5813
海南  甘肃  4719
广西  甘肃  4151
黑龙江  甘肃  3958
贵州  甘肃  3059
吉林  甘肃  2636

外省来 甘肃 
 甘肃  青海 57954
 甘肃  河南 57449
 甘肃  陕西 47579
 甘肃  四川 44446
 甘肃  湖北 25911
 甘肃  浙江 22767
 甘肃  江苏 18796
 甘肃  安徽 15264
 甘肃  山东 14945
 甘肃  河北 14488
 甘肃  新疆 12151
 甘肃  湖南 12083
 甘肃  宁夏 11409
 甘肃  福建 9620
 甘肃  重庆 8569
 甘肃  山西 7784
 甘肃  江西 7144
 甘肃  广东 6042
 甘肃  辽宁 5884
 甘肃  内蒙古 5724
 甘肃  黑龙江 4079
 甘肃  吉林 3607
 甘肃  云南 3463
 甘肃  贵州 3125
 甘肃  北京 3035
 甘肃  天津 2524
 甘肃  西藏 2522
 甘肃  广西 1961
 甘肃  上海 1606
 甘肃  海南 902
