"GEOID","lon","lat"
"Heilongjiang",127.7251156,47.84179408
"Xinjiang",85.20092441,41.11203458
"Shanxi",112.26255415,37.56977418
"Ningxia",106.1580529,37.26806435
"Tibet",88.46000059,31.49570727
"Shandong",118.10671312,36.32174376
"Henan",113.58064048,33.87427051
"Jiangsu",119.41950107,32.98072929
"Anhui",117.19658904,31.82289219
"Hubei",112.23892656,30.96772129
"Zhejiang",120.0230736,29.16594256
"Jiangxi",115.69939401,27.60814523
"Hunan",111.69403208,27.60538815
"Yunnan",101.49630166,24.97480807
"Guizhou",106.87227179,26.81149778
"Fujian",117.96557973,26.07515217
"Guangxi",108.78057833,23.83548336
"Guangdong",113.40108211,23.35066881
"Hainan",109.74489484,19.19262993
"Jilin",126.14835795,43.66159519
"Liaoning",122.56549298,41.29838001
"Tianjin",117.30502796,39.28829002
"Qinghai",96.02154341,35.74278374
"Gansu",100.9323126,37.82079507
"Shaanxi",108.85361751,35.20324619
"Inner Mongolia",113.89869047,44.08653847
"Chongqing",107.85666115,30.0475814
"Hebei",114.514121,38.039782
"Shanghai",121.39730923,31.165409
"Beijing",116.38513247,40.16304428
"Sichuan",102.72801662,30.61156695
"Taiwan",120.96729126,23.74560221
