,from,to,num
1,Anhui,Shaanxi,41692
2,Anhui,Beijing,430096
3,Anhui,Shanghai,2602273
4,Anhui,Inner Mongolia,37106
5,Anhui,Qinghai,12690
6,Anhui,Ningxia,17918
7,Anhui,Guizhou,19193
8,Anhui,Guangdong,445369
10,Anhui,Tibet,2536
11,Anhui,Fujian,250267
12,Anhui,Jilin,19642
13,Anhui,Hunan,25489
15,Anhui,Henan,61209
17,Anhui,Xinjiang,81166
18,Anhui,Hebei,62742
21,Anhui,Hainan,19990
22,Anhui,Hubei,60119
23,Anhui,Shandong,130067
24,Anhui,Yunnan,23297
25,Anhui,Heilongjiang,23337
26,Anhui,Guangxi,28763
28,Anhui,Liaoning,75000
29,Anhui,Jiangsu,2574625
36,Anhui,Sichuan,27330
37,Anhui,Jiangxi,51294
39,Anhui,Chongqing,14401
45,Anhui,Zhejiang,2285198
48,Anhui,Gansu,15264
51,Anhui,Shanxi,45524
56,Anhui,Tianjin,138998
61,Beijing,Jiangxi,3194
62,Beijing,Shaanxi,6526
63,Beijing,Yunnan,2243
65,Beijing,Sichuan,8886
66,Beijing,Ningxia,1022
67,Beijing,Zhejiang,8054
68,Beijing,Guangxi,2815
69,Beijing,Hubei,6544
70,Beijing,Hainan,2742
71,Beijing,Hunan,4796
72,Beijing,Gansu,3035
74,Beijing,Chongqing,3844
76,Beijing,Shandong,13104
77,Beijing,Liaoning,8928
78,Beijing,Anhui,4372
79,Beijing,Inner Mongolia,6662
80,Beijing,Qinghai,781
83,Beijing,Heilongjiang,7961
84,Beijing,Henan,6863
85,Beijing,Guizhou,1277
88,Beijing,Fujian,3936
90,Beijing,Jiangsu,14117
91,Beijing,Tianjin,22731
94,Beijing,Xinjiang,2263
97,Beijing,Tibet,229
100,Beijing,Jilin,4132
104,Beijing,Shanghai,22843
105,Beijing,Hebei,74697
108,Beijing,Shanxi,6850
114,Beijing,Guangdong,18918
121,Chongqing,Hunan,23295
122,Chongqing,Sichuan,299452
123,Chongqing,Guizhou,109301
124,Chongqing,Shanxi,20767
125,Chongqing,Shandong,24030
126,Chongqing,Fujian,409644
127,Chongqing,Qinghai,8402
128,Chongqing,Jilin,3616
129,Chongqing,Anhui,16174
130,Chongqing,Hainan,24465
132,Chongqing,Henan,14346
135,Chongqing,Hubei,111695
136,Chongqing,Liaoning,21540
137,Chongqing,Hebei,23944
138,Chongqing,Gansu,8569
139,Chongqing,Yunnan,152813
140,Chongqing,Shaanxi,25001
141,Chongqing,Tibet,11482
142,Chongqing,Shanghai,227653
145,Chongqing,Beijing,85654
146,Chongqing,Guangdong,933918
147,Chongqing,Jiangxi,13788
149,Chongqing,Inner Mongolia,15202
151,Chongqing,Jiangsu,178765
158,Chongqing,Guangxi,21158
160,Chongqing,Ningxia,6928
163,Chongqing,Heilongjiang,5092
167,Chongqing,Xinjiang,90138
169,Chongqing,Zhejiang,592942
171,Chongqing,Tianjin,27125
181,Fujian,Guangxi,43916
182,Fujian,Yunnan,41359
183,Fujian,Jiangsu,138615
184,Fujian,Shaanxi,25932
185,Fujian,Hubei,37293
187,Fujian,Tianjin,29491
188,Fujian,Chongqing,21182
189,Fujian,Sichuan,33877
190,Fujian,Jilin,7098
192,Fujian,Hunan,32685
193,Fujian,Hainan,18815
194,Fujian,Shanghai,263790
197,Fujian,Inner Mongolia,15357
198,Fujian,Hebei,20034
199,Fujian,Anhui,28855
200,Fujian,Liaoning,19760
201,Fujian,Beijing,95900
202,Fujian,Jiangxi,44554
203,Fujian,Shandong,37201
204,Fujian,Henan,20286
205,Fujian,Ningxia,4383
206,Fujian,Zhejiang,163702
208,Fujian,Heilongjiang,7560
209,Fujian,Tibet,1094
211,Fujian,Qinghai,5527
216,Fujian,Shanxi,21604
217,Fujian,Guizhou,28542
219,Fujian,Guangdong,434276
224,Fujian,Xinjiang,14946
227,Fujian,Gansu,9620
240,Gansu,Shaanxi,102522
241,Gansu,Sichuan,32963
242,Gansu,Hainan,4719
243,Gansu,Hubei,12767
244,Gansu,Heilongjiang,3958
245,Gansu,Hunan,8967
247,Gansu,Anhui,6422
248,Gansu,Tibet,19671
249,Gansu,Liaoning,8505
250,Gansu,Jilin,2636
251,Gansu,Shanghai,94798
252,Gansu,Yunnan,5813
253,Gansu,Jiangxi,9461
254,Gansu,Shandong,41470
256,Gansu,Xinjiang,344457
257,Gansu,Inner Mongolia,141901
258,Gansu,Guangdong,124987
261,Gansu,Chongqing,9146
263,Gansu,Henan,12010
264,Gansu,Jiangsu,101709
266,Gansu,Shanxi,11219
267,Gansu,Guangxi,4151
270,Gansu,Fujian,18055
271,Gansu,Qinghai,73076
277,Gansu,Tianjin,64184
279,Gansu,Ningxia,105125
280,Gansu,Zhejiang,62147
283,Gansu,Guizhou,3059
288,Gansu,Beijing,143265
292,Gansu,Hebei,20102
301,Guangdong,Yunnan,25473
302,Guangdong,Liaoning,10760
303,Guangdong,Qinghai,1800
304,Guangdong,Guizhou,17906
305,Guangdong,Inner Mongolia,5098
306,Guangdong,Xinjiang,11933
307,Guangdong,Hubei,40400
308,Guangdong,Tibet,414
309,Guangdong,Hunan,67350
310,Guangdong,Fujian,51299
315,Guangdong,Guangxi,124397
316,Guangdong,Sichuan,36625
317,Guangdong,Ningxia,1504
318,Guangdong,Chongqing,19392
320,Guangdong,Anhui,12738
321,Guangdong,Tianjin,19261
322,Guangdong,Gansu,6042
324,Guangdong,Heilongjiang,4738
326,Guangdong,Beijing,70783
327,Guangdong,Shanxi,5888
328,Guangdong,Jiangxi,36268
329,Guangdong,Jilin,3663
330,Guangdong,Henan,16888
331,Guangdong,Shandong,16152
335,Guangdong,Jiangsu,44584
340,Guangdong,Hainan,79765
341,Guangdong,Shanghai,79348
342,Guangdong,Shaanxi,14439
352,Guangdong,Zhejiang,46522
360,Guangdong,Hebei,9170
361,Guangxi,Anhui,8074
362,Guangxi,Hubei,20337
363,Guangxi,Liaoning,3951
364,Guangxi,Tibet,300
365,Guangxi,Hunan,34116
366,Guangxi,Tianjin,8927
367,Guangxi,Qinghai,1089
368,Guangxi,Beijing,31196
369,Guangxi,Chongqing,10594
370,Guangxi,Guangdong,3555330
371,Guangxi,Shanxi,3990
372,Guangxi,Hebei,8678
373,Guangxi,Guizhou,26158
376,Guangxi,Shanghai,49241
378,Guangxi,Gansu,1961
379,Guangxi,Heilongjiang,2328
381,Guangxi,Xinjiang,4132
382,Guangxi,Jiangsu,45570
383,Guangxi,Sichuan,17960
384,Guangxi,Jiangxi,19775
385,Guangxi,Shandong,8783
386,Guangxi,Shaanxi,6420
389,Guangxi,Yunnan,34134
390,Guangxi,Inner Mongolia,3216
391,Guangxi,Hainan,59289
392,Guangxi,Henan,7194
395,Guangxi,Ningxia,997
396,Guangxi,Fujian,69962
404,Guangxi,Zhejiang,139125
412,Guangxi,Jilin,1739
421,Guizhou,Beijing,38914
422,Guizhou,Henan,11227
423,Guizhou,Xinjiang,10056
424,Guizhou,Hainan,18099
425,Guizhou,Jiangsu,275505
426,Guizhou,Hunan,45652
427,Guizhou,Liaoning,8125
429,Guizhou,Shaanxi,10584
430,Guizhou,Tianjin,17276
431,Guizhou,Qinghai,3225
432,Guizhou,Shanghai,148084
433,Guizhou,Shanxi,11754
434,Guizhou,Guangdong,957774
435,Guizhou,Zhejiang,1499220
436,Guizhou,Tibet,1080
437,Guizhou,Yunnan,187405
438,Guizhou,Heilongjiang,3268
439,Guizhou,Chongqing,71950
441,Guizhou,Shandong,24392
443,Guizhou,Fujian,472000
445,Guizhou,Sichuan,57629
446,Guizhou,Guangxi,50964
450,Guizhou,Jilin,2194
452,Guizhou,Inner Mongolia,9525
455,Guizhou,Ningxia,1684
460,Guizhou,Anhui,32875
463,Guizhou,Hubei,23283
469,Guizhou,Jiangxi,33869
472,Guizhou,Hebei,17858
478,Guizhou,Gansu,3125
481,Hainan,Fujian,9030
482,Hainan,Jiangsu,5845
483,Hainan,Anhui,2270
484,Hainan,Shanxi,1659
485,Hainan,Jiangxi,6543
486,Hainan,Hubei,8120
487,Hainan,Xinjiang,828
488,Hainan,Gansu,902
490,Hainan,Yunnan,2623
491,Hainan,Shandong,3335
494,Hainan,Ningxia,284
495,Hainan,Guangdong,163638
496,Hainan,Sichuan,4772
497,Hainan,Guizhou,1673
498,Hainan,Qinghai,213
