"","source","target","value"
"1","forest1","forest2",1214.55
"2","water1","forest2",0.001
"3","bareland1","forest2",0.001
"4","forest1","water2",14.76
"5","water1","water2",37.08
"6","bareland1","water2",0.001
"7","forest1","bareland2",168.39
"8","water1","bareland2",11.97
"9","bareland1","bareland2",0.001
"10","forest2","forest3",1147.95
"11","water2","forest3",0.09
"12","bareland2","forest3",52.02
"13","forest2","water3",1.53
"14","water2","water3",45.63
"15","bareland2","water3",4.95
"16","forest2","bareland3",67.59
"17","water2","bareland3",6.21
"18","bareland2","bareland3",124.74
